username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,hora_rep,followers_diff,clase
Maryam_Dadar,110,0,8,34,519,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,-8,bot
LoneRune,49,0,33,159,2338,1,3,0.0,0.0,0.08333333333333333,0.0,0.25,-33,bot
govindps,192,0,12,45,702,0,1,0.0,0.0,0.0,0.0,0.4444444444444444,-12,bot
Rude_Boy31,177,0,46,296,1544,0,12,0.11904761904761904,0.0,0.38095238095238093,0.0,0.11904761904761904,-46,bot
JSLibGenerator,139,0,176,1,8246,6,0,0.0,0.0,0.02127659574468085,0.0,1.0,-176,bot
happy_botday,692,0,163,47,11578,27,0,0.038461538461538464,0.0,0.0,0.0,0.11538461538461539,-163,bot
EliteMixing,318,0,65,130,3228,2,0,0.0,0.0,0.0,0.0,0.2857142857142857,-65,bot
hecrmz,41,0,32,108,2921,2,3,0.07692307692307693,0.0,0.3076923076923077,0.0,0.15384615384615385,-32,bot
super_wangyu,459,0,5,39,2280,3,0,0.5454545454545454,0.045454545454545456,4.2727272727272725,0.0,0.36363636363636365,-5,bot
juantorrealva,1,0,11,24,2916,1,1,0.0,0.0,1.0,0.0,1.0,-11,bot
